#{"t_start": 1539898853.9491456, "env_id": "PongNoFrameskip-v4"}
r,l,t
13.0,2115,2378.030092
9.0,2457,2393.308608
18.0,1900,2404.720823
14.0,2114,2417.403248
13.0,2090,2429.949156
17.0,1916,2441.459506
20.0,1665,2452.191422
17.0,1935,2464.725044
17.0,2028,2479.413958
21.0,1658,2490.877908
19.0,1780,2502.417605
20.0,1775,2513.703014
20.0,1726,2524.222987
20.0,1728,2534.675188
19.0,1718,2545.102645
18.0,1759,2555.732808
16.0,1909,2567.294194
20.0,1726,2579.458364
21.0,1645,2589.545281
20.0,1728,2599.990795
18.0,1762,2611.170063
13.0,2247,2624.74014
14.0,2163,2638.342626
18.0,1854,2649.507421
16.0,1922,2661.126374
20.0,1665,2671.118432
14.0,2244,2684.633837
16.0,2250,2698.704329
19.0,1710,2709.043728
18.0,1840,2720.153361
17.0,2001,2732.524125
18.0,1824,2743.527293
20.0,1990,2756.100997
18.0,1789,2767.129926
20.0,1808,2778.123883
18.0,2049,2790.612784
20.0,1729,2801.208423
15.0,1970,2813.070892
20.0,1768,2824.363984
16.0,2158,2837.386703
17.0,1795,2848.270084
21.0,1689,2858.461656
21.0,1625,2868.438329
18.0,1858,2880.200632
20.0,1752,2891.10403
20.0,1773,2902.189708
20.0,1664,2912.322385
20.0,1663,2923.106981
17.0,1849,2934.382406
17.0,2098,2948.031693
20.0,1717,2958.390771
21.0,1626,2968.83349
21.0,1649,2979.724883
21.0,1643,2989.873577
18.0,1825,3000.938497
19.0,1754,3012.064959
20.0,1665,3022.093339
19.0,1754,3032.678312
16.0,1878,3043.928417
20.0,1685,3054.037867
18.0,1726,3064.438672
18.0,1819,3075.976111
18.0,1881,3087.395524
19.0,1729,3097.938606
20.0,1686,3109.057149
19.0,1809,3120.093875
18.0,2081,3133.426248
18.0,1841,3144.564211
20.0,1744,3155.056233
15.0,2063,3167.492804
17.0,1856,3178.675033
19.0,1810,3190.113375
20.0,1715,3200.452471
19.0,1722,3210.837923
19.0,1758,3221.423021
15.0,1968,3233.278815
17.0,1892,3245.183651
17.0,1855,3258.192781
20.0,1704,3269.048247
15.0,1968,3281.455483
