episodes,steps,% time spent exploring,mean 100 episode reward
100,95624,68,-20.1
200,249938,17,-17.6
300,474693,1,8.7
400,653590,1,18.6
500,831202,1,19.2
600,1008868,1,19.3
700,1185587,1,19.5
800,1364348,1,19.6
900,1541914,1,19.5
1000,1717621,1,19.7
1100,1893142,1,19.9
1200,2070824,1,19.6
1300,2245303,1,19.8
1400,2419810,1,19.8
1500,2592521,1,19.8
1600,2768666,1,19.8
1700,2940288,1,20.1
