mean 100 episode reward,episodes,steps,% time spent exploring
-20.3,100,91605,69
-17.1,200,242934,19
10.9,300,463960,1
19.4,400,640708,1
19.8,500,815790,1
19.9,600,987465,1
19.7,700,1158998,1
20.0,800,1330158,1
20.2,900,1498829,1
20.4,1000,1665835,1
20.2,1100,1833968,1
20.3,1200,1999530,1
20.3,1300,2165633,1
20.4,1400,2329857,1
20.4,1500,2495272,1
20.2,1600,2661799,1
20.2,1700,2828137,1
20.2,1800,2992076,1
