steps,episodes,% time spent exploring,mean 100 episode reward
23606,100,92,3.6
43386,200,85,3.9
61465,300,79,3.3
89757,400,70,4.5
126238,500,58,5.7
166604,600,45,8.8
209832,700,30,9.8
259025,800,14,11.5
314122,900,1,13.6
360209,1000,1,12.4
409685,1100,1,14.2
455208,1200,1,12.9
497405,1300,1,12.8
542279,1400,1,13.4
590107,1500,1,15.1
633688,1600,1,13.6
681276,1700,1,16.2
722248,1800,1,13.5
768577,1900,1,15.0
816641,2000,1,15.8
860075,2100,1,14.3
905100,2200,1,14.1
952205,2300,1,15.4
998125,2400,1,15.4
1051144,2500,1,17.1
1091675,2600,1,13.4
1136735,2700,1,14.7
1176581,2800,1,12.6
1221616,2900,1,14.5
1264722,3000,1,13.7
1307060,3100,1,14.3
1351868,3200,1,14.7
1392219,3300,1,13.5
1437834,3400,1,15.1
1481351,3500,1,14.6
1523219,3600,1,14.4
1568491,3700,1,15.8
1614682,3800,1,15.5
1661061,3900,1,14.5
1701035,4000,1,13.1
1747799,4100,1,15.8
1790844,4200,1,14.2
1833874,4300,1,14.4
1880218,4400,1,15.2
1924641,4500,1,14.7
1964816,4600,1,14.3
2011432,4700,1,15.5
2056074,4800,1,15.2
2098680,4900,1,14.4
2141397,5000,1,14.5
2181641,5100,1,13.0
2226120,5200,1,15.0
2272129,5300,1,15.2
2315603,5400,1,15.1
2361208,5500,1,16.6
2403506,5600,1,14.8
2446285,5700,1,15.0
2487466,5800,1,14.1
2530739,5900,1,15.2
2566138,6000,1,11.8
2606236,6100,1,13.3
2650755,6200,1,15.6
2692068,6300,1,14.5
2733316,6400,1,14.2
2764138,6500,1,9.9
2800579,6600,1,11.8
2840730,6700,1,13.5
2880268,6800,1,13.5
2918969,6900,1,13.9
2958795,7000,1,13.5
2987562,7100,1,9.5
