mean 100 episode reward,episodes,% time spent exploring,steps
-20.2,100,69,92878
-19.0,200,30,209394
-16.6,300,1,395486
-10.9,400,1,671435
7.3,500,1,929146
17.9,600,1,1115996
17.8,700,1,1299302
18.2,800,1,1481856
