episodes,mean 100 episode reward,% time spent exploring,steps
100,-20.4,70,90403
200,-17.6,20,239677
300,1.6,1,500277
400,18.8,1,685714
500,19.8,1,859653
600,20.2,1,1031734
700,20.3,1,1201137
800,20.0,1,1373131
900,20.2,1,1543629
1000,20.4,1,1712311
1100,20.3,1,1882770
1200,20.3,1,2052855
1300,20.0,1,2224539
1400,20.4,1,2394379
1500,20.2,1,2567683
1600,20.3,1,2739724
1700,20.3,1,2914506
