episodes,% time spent exploring,mean 100 episode reward,steps
100,69,-20.3,91222
200,31,-19.6,206573
300,1,-16.7,381355
400,1,-4.2,631981
500,1,15.3,842200
600,1,17.1,1042894
700,1,16.8,1249426
800,1,16.8,1449141
900,1,17.5,1649746
1000,1,17.3,1853503
1100,1,16.9,2056457
1200,1,16.4,2267168
1300,1,18.3,2462059
1400,1,17.9,2647584
1500,1,17.8,2837647
