#{"t_start": 1538196236.1053963, "env_id": "RoadRunnerNoFrameskip-v4"}
r,l,t
0.0,103,3.154142
0.0,151,3.518989
0.0,240,4.109257
0.0,98,4.347021
0.0,145,4.700959
0.0,158,5.084315
0.0,302,5.818666
0.0,163,6.218461
0.0,206,6.719626
0.0,78,6.911153
0.0,185,7.366439
0.0,78,7.555195
0.0,104,7.809083
0.0,94,8.039961
0.0,191,8.503536
0.0,304,9.246949
0.0,295,9.971864
0.0,133,10.294314
0.0,112,10.564135
0.0,206,11.066221
0.0,167,11.473312
0.0,98,11.71499
0.0,162,12.105389
200.0,258,12.733968
0.0,92,12.954292
0.0,140,13.293903
0.0,82,13.493786
0.0,126,13.799205
0.0,276,14.471244
0.0,144,14.818505
0.0,208,15.321737
0.0,234,15.892217
0.0,168,16.298363
0.0,79,16.489171
0.0,157,16.874684
0.0,207,17.378583
0.0,328,18.179297
0.0,121,18.470522
0.0,121,18.763651
0.0,110,19.035755
0.0,147,19.395475
0.0,193,19.863184
0.0,89,20.080359
0.0,251,20.695897
0.0,80,20.889957
0.0,85,21.096968
0.0,201,21.59273
0.0,186,22.048493
0.0,212,22.564146
0.0,160,22.952545
0.0,201,23.4455
0.0,128,23.7551
0.0,103,24.001078
0.0,173,24.42186
0.0,227,24.976556
0.0,254,25.600866
0.0,222,26.140488
0.0,78,26.326542
0.0,121,26.623555
0.0,127,26.931901
100.0,483,28.116665
0.0,124,28.416166
0.0,169,29.483206
0.0,312,31.456577
0.0,100,32.09209
0.0,119,32.788186
0.0,157,33.744531
0.0,250,35.265327
0.0,103,35.872274
0.0,251,37.402615
0.0,114,38.078049
0.0,151,38.98301
0.0,101,39.573588
0.0,142,40.42761
100.0,260,42.057831
0.0,175,43.111605
0.0,178,44.185868
0.0,196,45.362351
0.0,166,46.3918
0.0,135,47.198445
0.0,116,47.878813
0.0,218,49.233997
0.0,243,50.698537
0.0,106,51.330905
0.0,147,52.21299
0.0,142,53.068585
0.0,180,54.206098
0.0,79,54.691836
0.0,109,55.332052
0.0,148,56.218226
0.0,110,56.869031
0.0,158,57.821337
100.0,423,60.467208
0.0,198,61.654711
