% time spent exploring,episodes,steps,mean 100 episode reward
91,100,24685,1.0
86,200,41697,0.9
80,300,59878,1.0
72,400,83266,1.1
65,500,103852,0.9
58,600,124615,0.9
51,700,146386,1.2
44,800,167321,0.9
36,900,193033,1.2
28,1000,218053,1.1
19,1100,243161,1.0
12,1200,265350,1.0
4,1300,288562,0.9
1,1400,312486,1.1
1,1500,333016,1.0
1,1600,354268,1.0
1,1700,374674,0.9
1,1800,393659,1.0
1,1900,418445,1.3
1,2000,439788,0.9
1,2100,465653,1.2
1,2200,490752,1.4
1,2300,511759,1.0
1,2400,529640,1.1
1,2500,551863,1.3
1,2600,574210,1.5
1,2700,595110,1.2
1,2800,614237,1.1
1,2900,635011,1.4
1,3000,655004,1.5
1,3100,676176,1.5
1,3200,696870,1.8
1,3300,719098,1.9
1,3400,739451,1.5
1,3500,759922,1.7
1,3600,782448,1.9
1,3700,803687,2.2
1,3800,825331,2.0
1,3900,846773,1.8
1,4000,868003,2.0
1,4100,888242,2.2
1,4200,910250,2.1
1,4300,930096,2.0
1,4400,952226,2.0
1,4500,972459,2.3
1,4600,991818,2.0
1,4700,1011437,2.1
1,4800,1031672,2.3
1,4900,1054349,2.4
1,5000,1076039,2.4
1,5100,1098450,2.5
1,5200,1118905,2.4
1,5300,1140816,2.6
1,5400,1162975,2.5
1,5500,1182281,2.5
1,5600,1205592,2.7
1,5700,1226422,2.8
1,5800,1250632,2.9
1,5900,1272792,2.5
1,6000,1293170,2.5
1,6100,1312482,2.4
1,6200,1335770,2.8
1,6300,1357058,2.6
1,6400,1381497,3.0
1,6500,1402598,2.6
1,6600,1422566,2.4
1,6700,1443997,2.9
1,6800,1462942,2.5
1,6900,1483082,2.5
1,7000,1504063,2.9
1,7100,1524124,2.5
1,7200,1544690,2.5
1,7300,1562613,2.4
1,7400,1581890,2.7
1,7500,1602216,2.7
1,7600,1622357,2.7
1,7700,1641336,2.5
1,7800,1659599,2.5
1,7900,1677028,2.4
1,8000,1693425,2.3
1,8100,1711464,2.2
1,8200,1727871,2.5
1,8300,1745235,2.6
1,8400,1760949,2.4
1,8500,1774831,2.2
1,8600,1792551,2.6
1,8700,1810305,2.6
1,8800,1826792,2.5
1,8900,1843000,2.3
1,9000,1860255,2.4
1,9100,1878813,2.4
1,9200,1895452,2.6
1,9300,1910436,2.1
1,9400,1926228,2.1
1,9500,1941512,2.4
1,9600,1959540,2.9
1,9700,1976158,2.4
1,9800,1991942,2.4
1,9900,2008729,2.5
1,10000,2026324,2.6
1,10100,2041999,2.7
1,10200,2058677,2.7
1,10300,2074669,2.7
1,10400,2089823,2.6
1,10500,2106054,2.7
1,10600,2122963,2.8
1,10700,2139407,2.8
1,10800,2158432,3.0
1,10900,2176200,2.9
1,11000,2193932,2.9
1,11100,2211341,2.7
1,11200,2226468,2.6
1,11300,2243259,2.8
1,11400,2261069,3.0
1,11500,2277677,2.7
1,11600,2293657,2.8
1,11700,2311537,2.7
1,11800,2327378,2.6
1,11900,2344040,3.1
1,12000,2361631,2.7
1,12100,2378873,3.0
1,12200,2397392,2.9
1,12300,2415385,3.1
1,12400,2433460,3.3
1,12500,2451821,3.0
1,12600,2467758,3.0
1,12700,2487198,2.9
1,12800,2504215,3.0
1,12900,2519057,2.7
1,13000,2538724,3.2
1,13100,2554870,2.7
1,13200,2569990,2.7
1,13300,2587454,2.9
1,13400,2604348,3.2
1,13500,2619846,2.8
1,13600,2637247,3.2
1,13700,2653106,2.9
1,13800,2670807,3.0
1,13900,2688391,3.1
1,14000,2705649,3.2
1,14100,2721943,2.8
1,14200,2738427,2.6
1,14300,2756058,3.0
1,14400,2772409,2.8
1,14500,2787765,2.8
1,14600,2804326,3.0
1,14700,2820530,2.8
1,14800,2835927,2.8
1,14900,2852056,3.2
1,15000,2866891,2.7
1,15100,2882560,3.1
1,15200,2899282,3.1
1,15300,2914390,2.9
1,15400,2932003,3.3
1,15500,2947485,2.9
1,15600,2963252,3.2
1,15700,2981874,3.6
